Brand,Model,Viewport,Resolution,D.size,DPI
Apple/Phone,iPhone 6,375x667,750x1334,4.7 inch,326
Apple/Phone,iPhone 6S,375x667,750x1334,4.7 inch,326
Apple/Phone,iPhone 6S Plus,414x736,1080x1920,5.5 inch,401
Apple/Phone,iPhone 7,375x667,750x1334,4.7 inch,326
Apple/Phone,iPhone 7 Plus,414x736,1080x1920,5.5 inch,401
Apple/Phone,iPhone 8,375x667,750x1334,4.7 inch,326
Apple/Phone,iPhone 8 Plus,414x736,1080x1920,5.5 inch,401
Apple/Phone,iPhone X,375x812,1125x2436,5.8 inch,463
Apple/Phone,iPhone XR,414x896,828x1792,6.1 inch,326
Apple/Phone,iPhone XS,375x812,1125x2436,5.8 inch,458
Apple/Phone,iPhone XS Max,414x896,1242x2688,6.5 inch,458
Google/Phone,Nexus 5,360x640,1080x1920,4.95 inch,445
Google/Phone,Nexus 6,360x640,1440x2560,5.96 inch,493
Google/Phone,Nexus 6P,412x738,1440x2560,5.7 inch,515
Google/Phone,Pixel,360x640,1080x1920,5 inch,441
Google/Phone,Pixel 2,412x640,1080x1920,5 inch,441
Google/Phone,Pixel 2 XL,412x823,1440x2880,6 inch,537
Google/Phone,Pixel 3,393x786,1080x2160,5.5 inch,439
Google/Phone,Pixel 3 XL,393x786,1440x2880,6 inch,537
Google/Phone,Pixel XL,411x731,1440x2560,5.5 inch,534
Huawei/Phone,P10,360x640,1080x1920,5.1 inch,432
Huawei/Phone,P10 Lite,360x640,1080x1920,5.2 inch,424
Huawei/Phone,P20,360x748,1080x2244,5.8 inch,429
Huawei/Phone,P20 Lite,360x760,1080x2280,5.84 inch,432
Huawei/Phone,P20 Pro,360x747,1080x2240,6.1 inch,408
Huawei/Phone,P8 Lite,360x640,1080x1920,5.2 inch,424
Huawei/Phone,P9,360x640,1080x1920,5.2 inch,424
Huawei/Phone,P9 Lite,360x640,1080x1920,5.2 inch,424
LG/Phone,Aristo 2,360x640,720x1280,5 inch,294
LG/Phone,K10,360x640,720x1280,5.3 inch,277
LG/Phone,K20,360x640,720x1280,5.3 inch,277
LG/Phone,K7,320x570,480x854,5 inch,196
LG/Phone,Stylo 2,360x640,720x1280,5.7 inch,258
LG/Phone,Tribute HD,360x640,720x1280,5 inch,294
LG/Phone,V20,360x640,1440x2560,5.7 inch,515
Motorola/Phone,DROID Turbo,360x640,1440x2560,5.2 inch,565
Motorola/Phone,Moto E4,360x640,720x1280,5 inch,294
Motorola/Phone,Moto G5 Plus,360x640,1080x1920,5.2 inch,424
Motorola/Phone,Moto Z,360x640,1440x2560,5.5 inch,534
Motorola/Phone,Moto Z Play,360x640,1080x1920,5.5 inch,401
Motorola/Phone,Moto Z2,360x640,1440x2560,5.5 inch,534
Motorola/Phone,Moto Z2 Play,360x640,1080x1920,5.5 inch,401
Samsung/Phone,Galaxy J3,360x640,720x1280,5 inch,294
Samsung/Phone,Galaxy J7,360x640,720x1280,5.5 inch,267
Samsung/Phone,Galaxy Note 8,360x740,1440x2960,6.3 inch,522
Samsung/Phone,Galaxy S6,360x640,1440x2560,5.1 inch,576
Samsung/Phone,Galaxy S7,360x640,1440x2560,5.1 inch,576
Samsung/Phone,Galaxy S7 Edge,360x640,1440x2560,5.5 inch,534
Samsung/Phone,Galaxy S8,360x740,1440x2960,5.8 inch,568
Samsung/Phone,Galaxy S8 Plus,412x846,1440x2960,6.2 inch,531
Samsung/Phone,Galaxy S9,360x740,1440x2960,5.8 inch,568
Samsung/Phone,Galaxy S9 Plus,412x846,1440x2960,6.2 inch,531
Xiaomi/Phone,Redmi 4,360x640,720x1280,5 inch,294
Xiaomi/Phone,Redmi 4X,360x640,720x1280,5 inch,294
Xiaomi/Phone,Redmi Note 3,360x640,1080x1920,5.5 inch,401
Xiaomi/Phone,Redmi Note 4,360x640,1080x1920,5.5 inch,401
Xiaomi/Phone,Redmi Note 5,393x786,1080x2160,6 inch,402
ZTE/Phone,Blade X,360x640,720x1280,5.5 inch,233
ZTE/Phone,Majesty Pro,320x570,480x854,4.5 inch,218
ZTE/Phone,Maven 3,320x570,480x854,5 inch,196
ZTE/Phone,Max XL,360x640,1080x1920,6 inch,367
ZTE/Phone,ZMAX Pro,360x640,1080x1920,6 inch,160
